Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
NSC_H33_03h_rep2_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	60894075.0	pass	fail	warn	40.0	75.5764956503	NSC_H33_03h_rep2_pass_2.fastq.gz		pass
NSC_H33_03h_rep3_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	62159343.0	pass	fail	warn	40.0	77.5573859182	NSC_H33_03h_rep3_pass_1.fastq.gz		pass
NSC_H33_03h_rep3_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	62159343.0	pass	fail	warn	40.0	78.1467144191	NSC_H33_03h_rep3_pass_2.fastq.gz		pass
NSC_H33_06h_rep1_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	49833076.0	pass	fail	warn	39.0	71.9775792802	NSC_H33_06h_rep1_pass_1.fastq.gz		pass
NSC_H33_06h_rep1_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	49833076.0	pass	fail	warn	39.0	72.8425087376	NSC_H33_06h_rep1_pass_2.fastq.gz		pass
NSC_H33_06h_rep2_pass_1	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	56261187.0	pass	fail	fail	40.0	57.7471645647	NSC_H33_06h_rep2_pass_1.fastq.gz		pass
NSC_H33_06h_rep2_pass_2	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	56261187.0	pass	fail	warn	40.0	60.8785414488	NSC_H33_06h_rep2_pass_2.fastq.gz		pass
NSC_H33_06h_rep3_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	81278720.0	pass	fail	warn	39.0	71.0271796769	NSC_H33_06h_rep3_pass_1.fastq.gz		pass
NSC_H33_06h_rep3_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	81278720.0	pass	fail	warn	40.0	71.8331139028	NSC_H33_06h_rep3_pass_2.fastq.gz		pass
NSC_H33_12h_rep1_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	60578961.0	pass	fail	warn	39.0	71.3223665213	NSC_H33_12h_rep1_pass_1.fastq.gz		pass
NSC_H33_12h_rep1_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	60578961.0	pass	fail	warn	39.0	72.4386909224	NSC_H33_12h_rep1_pass_2.fastq.gz		pass
NSC_H33_12h_rep2_pass_1	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	67643768.0	pass	fail	fail	40.0	53.9868926	NSC_H33_12h_rep2_pass_1.fastq.gz		pass
NSC_H33_12h_rep2_pass_2	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	67643768.0	pass	fail	warn	41.0	58.6703928212	NSC_H33_12h_rep2_pass_2.fastq.gz		pass
NSC_H33_12h_rep3_pass_1	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	47321563.0	pass	fail	warn	39.0	65.0186165569	NSC_H33_12h_rep3_pass_1.fastq.gz		pass
NSC_H33_12h_rep3_pass_2	pass	0.0	warn	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	47321563.0	pass	fail	warn	40.0	67.1661730098	NSC_H33_12h_rep3_pass_2.fastq.gz		pass
NSC_H33_inp_rep1_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	59034568.0	pass	fail	pass	40.0	85.1401041229	NSC_H33_inp_rep1_pass_1.fastq.gz		pass
NSC_H33_inp_rep1_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	59034568.0	pass	fail	pass	40.0	85.2801834036	NSC_H33_inp_rep1_pass_2.fastq.gz		pass
NSC_H33_inp_rep2_3_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	35454545.0	pass	fail	pass	39.0	86.4608232001	NSC_H33_inp_rep2_3_pass_1.fastq.gz		pass
NSC_H33_inp_rep2_3_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	35454545.0	pass	fail	pass	39.0	86.623869151	NSC_H33_inp_rep2_3_pass_2.fastq.gz		pass
